"Dato","Kumulativt antall","Nye tilfeller"
"23.06.2020",8777,13
"24.06.2020",8798,21
"25.06.2020",8815,17
"26.06.2020",8837,22
"27.06.2020",8847,10
"28.06.2020",8848,1
"29.06.2020",8874,26
"30.06.2020",8884,10
"01.07.2020",8892,8
"02.07.2020",8900,8
"03.07.2020",8910,10
"04.07.2020",8912,2
"05.07.2020",8913,1
"06.07.2020",8927,14
"07.07.2020",8937,10
"08.07.2020",8948,11
"09.07.2020",8956,8
"10.07.2020",8969,13
"11.07.2020",8973,4
"12.07.2020",8978,5
"13.07.2020",8997,19
"14.07.2020",9005,8
"15.07.2020",9011,6
"16.07.2020",9015,4
"17.07.2020",9027,12
"18.07.2020",9028,1
"19.07.2020",9031,3
"20.07.2020",9052,21
"21.07.2020",9058,6
"22.07.2020",9080,22
"23.07.2020",9086,6
"24.07.2020",9110,24
"25.07.2020",9116,6
"26.07.2020",9125,9
"27.07.2020",9149,24
"28.07.2020",9165,16
"29.07.2020",9202,37
"30.07.2020",9225,23
"31.07.2020",9297,72
"01.08.2020",9310,13
"02.08.2020",9323,13
"03.08.2020",9361,38
"04.08.2020",9401,40
"05.08.2020",9467,66
"06.08.2020",9545,78
"07.08.2020",9624,79
"08.08.2020",9659,35
"09.08.2020",9693,34
"10.08.2020",9756,63
"11.08.2020",9798,42
"12.08.2020",9861,63
"13.08.2020",9915,54
"14.08.2020",9991,76
"15.08.2020",10034,43
"16.08.2020",10061,27
"17.08.2020",10135,74
"18.08.2020",10192,57
"19.08.2020",10252,60
"20.08.2020",10302,50
"21.08.2020",10355,53
"22.08.2020",10400,45
"23.08.2020",10419,19
"24.08.2020",10486,67
"25.08.2020",10528,42
"26.08.2020",10568,40
"27.08.2020",10619,51
"28.08.2020",10703,84
"29.08.2020",10744,41
"30.08.2020",10795,51
"31.08.2020",10943,148
"01.09.2020",11058,115
"02.09.2020",11159,101
"03.09.2020",11285,126
"04.09.2020",11404,119
"05.09.2020",11477,73
"06.09.2020",11537,60
"07.09.2020",11669,132
"08.09.2020",11782,113
"09.09.2020",11906,124
"10.09.2020",12038,132
"11.09.2020",12156,118
"12.09.2020",12223,67
"13.09.2020",12301,78
"14.09.2020",12404,103
"15.09.2020",12536,132
"16.09.2020",12673,137
"17.09.2020",12789,116
"18.09.2020",12883,94
"19.09.2020",12941,58
"20.09.2020",13018,77
"21.09.2020",13181,163
"22.09.2020",13282,101
"23.09.2020",13425,143
"24.09.2020",13558,133
"25.09.2020",13688,130
"26.09.2020",13750,62
"27.09.2020",13804,54
"28.09.2020",13928,124
"29.09.2020",14038,110
"30.09.2020",14156,118
"01.10.2020",14287,131
"02.10.2020",14421,134
"03.10.2020",14531,110
"04.10.2020",14620,89
"05.10.2020",14827,207
"06.10.2020",15025,198
"07.10.2020",15225,200
"08.10.2020",15393,168
"09.10.2020",15534,141
"10.10.2020",15599,65
"11.10.2020",15678,79
"12.10.2020",15843,165
"13.10.2020",15998,155
"14.10.2020",16160,162
"15.10.2020",16301,141
"16.10.2020",16439,138
"17.10.2020",16527,88
"18.10.2020",16620,93
"19.10.2020",16840,220
"20.10.2020",17028,188
"21.10.2020",17249,221
"22.10.2020",17535,286
"23.10.2020",17902,367
"24.10.2020",18133,231
"25.10.2020",18335,202
"26.10.2020",18814,479
"27.10.2020",19191,377
"28.10.2020",19542,351
"29.10.2020",19563,21
